CustomerID,Country,Recency,Frequency,MonetaryValue,R,F,M,RFMSegment,RFMScore,RFMLevel,Clusters
12346,United Kingdom,326,1,689.52,1,1,3,1.01.03.0,5,Bronze,0
12347,Iceland,2,182,4309.999999999997,4,4,4,4.04.04.0,12,Gold,2
12348,Finland,75,31,1797.24,2,2,4,2.02.04.0,8,Silver,1
12349,Italy,19,73,1751.55,3,3,4,3.03.04.0,10,Gold,1
12350,Norway,310,17,334.40000000000003,1,1,2,1.01.02.0,4,Bronze,0
12352,Norway,36,85,2423.5400000000004,3,3,4,3.03.04.0,10,Gold,1
12353,Bahrain,204,4,89.0,1,1,1,1.01.01.0,3,Bronze,0
12354,Spain,232,58,1079.4,1,3,3,1.03.03.0,7,Silver,1
12355,Bahrain,214,13,459.4,1,1,2,1.01.02.0,4,Bronze,0
12356,Portugal,23,59,2811.4300000000007,3,3,4,3.03.04.0,10,Gold,1
12357,Switzerland,33,131,6207.669999999996,3,4,4,3.04.04.0,11,Gold,2
12358,Austria,2,19,1168.06,4,2,3,4.02.03.0,9,Silver,2
12359,Cyprus,58,245,6310.030000000005,2,4,4,2.04.04.0,10,Gold,2
12360,Austria,52,129,2662.0600000000004,2,4,4,2.04.04.0,10,Gold,1
12361,Belgium,287,10,189.89999999999998,1,1,1,1.01.01.0,3,Bronze,0
12362,Belgium,3,266,5226.230000000003,4,4,4,4.04.04.0,12,Gold,2
12363,Unspecified,110,23,552.0,2,2,2,2.02.02.0,6,Silver,0
12364,Belgium,8,85,1313.1000000000001,4,3,3,4.03.03.0,10,Gold,2
12365,Cyprus,291,22,614.69,1,2,2,1.02.02.0,5,Bronze,0
12367,Denmark,4,11,168.9,4,1,1,4.01.01.0,6,Silver,0
12370,Austria,358,8,277.2,1,1,1,1.01.01.0,3,Bronze,0
12370,Cyprus,51,158,3264.7399999999984,3,4,4,3.04.04.0,11,Gold,2
12371,Switzerland,45,63,1887.9600000000003,3,3,4,3.03.04.0,10,Gold,1
12372,Denmark,72,52,1298.0400000000002,2,3,3,2.03.03.0,8,Silver,1
12373,Austria,311,14,364.6,1,1,2,1.01.02.0,4,Bronze,0
12374,Austria,25,33,742.93,3,2,3,3.02.03.0,8,Silver,1
12375,Finland,11,17,457.5000000000001,4,1,2,4.01.02.0,7,Silver,1
12377,Switzerland,315,77,1628.1199999999997,1,3,3,1.03.03.0,7,Silver,1
12378,Switzerland,130,219,4008.6200000000013,2,4,4,2.04.04.0,10,Gold,1
12379,Belgium,82,40,852.2399999999997,2,2,3,2.02.03.0,7,Silver,1
12380,Belgium,22,104,2724.81,3,4,4,3.04.04.0,11,Gold,2
12381,Norway,5,87,1845.3100000000006,4,3,4,4.03.04.0,11,Gold,2
12383,Belgium,185,99,1850.5599999999997,1,4,4,1.04.04.0,9,Silver,1
12384,Switzerland,29,27,585.2700000000001,3,2,2,3.02.02.0,7,Silver,1
12386,Australia,338,10,401.90000000000003,1,1,2,1.01.02.0,4,Bronze,0
12388,Australia,16,100,2780.6600000000003,4,4,4,4.04.04.0,12,Gold,2
12390,Belgium,80,32,549.8399999999999,2,2,2,2.02.02.0,6,Silver,1
12391,Cyprus,22,93,439.65999999999997,3,3,2,3.03.02.0,8,Silver,1
12393,Australia,72,64,1582.6000000000004,2,3,3,2.03.03.0,8,Silver,1
12394,Belgium,217,21,381.08,1,2,2,1.02.02.0,5,Bronze,0
12394,Denmark,64,6,891.4000000000001,2,1,3,2.01.03.0,6,Silver,0
12395,Belgium,19,156,3018.6299999999987,3,4,4,3.04.04.0,11,Gold,2
12397,Belgium,36,126,2409.9000000000005,3,4,4,3.04.04.0,11,Gold,1
12398,Switzerland,46,85,1635.6599999999999,3,3,3,3.03.03.0,9,Silver,1
12399,Belgium,119,59,1108.65,2,3,3,2.03.03.0,8,Silver,1
12401,Belgium,303,5,84.3,1,1,1,1.01.01.0,3,Bronze,0
12402,Belgium,323,11,225.6,1,1,1,1.01.01.0,3,Bronze,0
12403,Denmark,50,5,427.7,3,1,2,3.01.02.0,6,Silver,0
12405,Finland,149,54,1710.3900000000006,1,3,4,1.03.04.0,8,Silver,1
12406,Denmark,22,105,3415.300000000001,3,4,4,3.04.04.0,11,Gold,2
12407,Belgium,50,77,1708.1199999999997,3,3,4,3.03.04.0,10,Gold,1
12408,Belgium,33,105,2888.5500000000006,3,4,4,3.04.04.0,11,Gold,2
12409,Switzerland,79,109,11072.670000000002,2,4,4,2.04.04.0,10,Gold,2
12410,Switzerland,309,26,693.3299999999999,1,2,3,1.02.03.0,6,Silver,0
12412,Denmark,75,61,1226.8799999999999,2,3,3,2.03.03.0,8,Silver,1
12413,France,67,38,758.0999999999999,2,2,3,2.02.03.0,7,Silver,1
12414,Austria,217,18,562.41,1,2,2,1.02.02.0,5,Bronze,0
12415,Australia,24,714,123997.52999999975,3,4,4,3.04.04.0,11,Gold,2
12417,Belgium,3,169,3212.7999999999997,4,4,4,4.04.04.0,12,Gold,2
12417,Spain,225,23,436.29999999999995,1,2,2,1.02.02.0,5,Bronze,0
12418,Switzerland,113,34,668.5799999999997,2,2,3,2.02.03.0,7,Silver,1
12420,Cyprus,64,29,600.3900000000001,2,2,2,2.02.02.0,6,Silver,1
12421,Spain,16,45,807.0400000000002,4,3,3,4.03.03.0,10,Gold,1
12422,Australia,96,21,386.20000000000005,2,2,2,2.02.02.0,6,Silver,0
12422,Switzerland,168,18,417.36,1,2,2,1.02.02.0,5,Bronze,0
12423,Belgium,1,125,1859.3100000000002,4,4,4,4.04.04.0,12,Gold,2
12424,Australia,163,30,1760.9599999999998,1,2,4,1.02.04.0,7,Silver,1
12425,Portugal,78,36,777.1999999999999,2,2,3,2.02.03.0,7,Silver,1
12426,Germany,195,30,582.7299999999999,1,2,2,1.02.02.0,5,Bronze,0
12427,Germany,22,31,825.8000000000002,3,2,3,3.02.03.0,8,Silver,1
12428,Finland,26,294,7956.460000000004,3,4,4,3.04.04.0,11,Gold,2
12429,Austria,228,21,437.97999999999996,1,2,2,1.02.02.0,5,Bronze,0
12429,Denmark,9,76,3312.420000000001,4,3,4,4.03.04.0,11,Gold,2
12430,Norway,43,11,256.4,3,1,1,3.01.01.0,5,Bronze,0
12431,Australia,36,180,5447.17,3,4,4,3.04.04.0,11,Gold,2
12431,Belgium,60,54,972.7799999999997,2,3,3,2.03.03.0,8,Silver,1
12432,Norway,43,108,4653.320000000001,3,4,4,3.04.04.0,11,Gold,2
12433,Norway,1,420,13375.869999999992,4,4,4,4.04.04.0,12,Gold,2
12434,Australia,85,50,806.14,2,3,3,2.03.03.0,8,Silver,1
12435,Denmark,80,36,7829.889999999998,2,2,4,2.02.04.0,8,Silver,1
12436,Norway,100,16,509.01000000000005,2,1,2,2.01.02.0,5,Bronze,0
12437,France,2,199,4951.409999999997,4,4,4,4.04.04.0,12,Gold,2
12438,Norway,14,98,2906.8500000000004,4,3,4,4.03.04.0,11,Gold,2
12441,France,367,11,173.55,1,1,1,1.01.01.0,3,Bronze,0
12442,Spain,3,12,172.06,4,1,1,4.01.01.0,6,Silver,1
12444,Norway,21,176,5005.46,3,4,4,3.04.04.0,11,Gold,2
12445,Spain,22,4,133.4,3,1,1,3.01.01.0,5,Bronze,0
12446,RSA,58,57,1002.3099999999998,2,3,3,2.03.03.0,8,Silver,1
12447,Belgium,243,26,476.49,1,2,2,1.02.02.0,5,Bronze,0
12448,Spain,44,22,449.4500000000001,3,2,2,3.02.02.0,7,Silver,1
12449,Belgium,22,191,4067.2900000000013,3,4,4,3.04.04.0,11,Gold,2
12450,Spain,156,8,197.88,1,1,1,1.01.01.0,3,Bronze,0
12451,Switzerland,11,354,9035.519999999999,4,4,4,4.04.04.0,12,Gold,2
12452,Switzerland,17,22,430.57000000000005,4,2,2,4.02.02.0,8,Silver,1
12453,Austria,134,43,707.0899999999999,2,3,3,2.03.03.0,8,Silver,1
12454,Spain,56,15,3528.34,2,1,4,2.01.04.0,7,Silver,1
12455,Cyprus,295,42,1698.8999999999996,1,3,4,1.03.04.0,8,Silver,1
12455,Spain,73,48,767.9600000000006,2,3,3,2.03.03.0,8,Silver,1
12456,Switzerland,44,125,3181.039999999998,3,4,4,3.04.04.0,11,Gold,1
12457,Cyprus,66,2,392.7,2,1,2,2.01.02.0,5,Bronze,0
12457,Switzerland,85,60,1970.5299999999997,2,3,4,2.03.04.0,9,Silver,1
12458,Switzerland,71,38,947.4000000000001,2,2,3,2.02.03.0,7,Silver,1
12461,Switzerland,94,35,826.8800000000001,2,2,3,2.02.03.0,7,Silver,1
12462,Spain,19,62,1189.5900000000001,3,3,3,3.03.03.0,9,Silver,1
12463,Belgium,53,83,1344.7799999999997,2,3,3,2.03.03.0,8,Silver,1
12464,Belgium,10,29,1212.0499999999997,4,2,3,4.02.03.0,9,Silver,1
12465,Belgium,17,47,742.1900000000002,4,3,3,4.03.03.0,10,Gold,1
12468,Germany,188,38,729.54,1,2,3,1.02.03.0,6,Silver,1
12471,Germany,2,459,19788.649999999947,4,4,4,4.04.04.0,12,Gold,2
12472,Germany,32,339,6572.110000000003,3,4,4,3.04.04.0,11,Gold,2
12473,Germany,29,166,3248.65,3,4,4,3.04.04.0,11,Gold,2
12474,Germany,17,422,7324.089999999998,4,4,4,4.04.04.0,12,Gold,2
12475,Germany,54,36,723.38,2,2,3,2.02.03.0,7,Silver,1
12476,Germany,16,233,6816.420000000005,4,4,4,4.04.04.0,12,Gold,2
12477,Germany,23,300,13219.73999999999,3,4,4,3.04.04.0,11,Gold,2
12478,Greece,4,36,680.9900000000002,4,2,3,4.02.03.0,9,Silver,1
12479,Germany,11,31,527.2,4,2,2,4.02.02.0,8,Silver,1
12480,Germany,28,154,3281.6300000000015,3,4,4,3.04.04.0,11,Gold,2
12481,Germany,23,216,5579.820000000002,3,4,4,3.04.04.0,11,Gold,2
12483,Sweden,17,75,2484.980000000001,4,3,4,4.03.04.0,11,Gold,2
12484,Spain,33,343,4527.3200000000015,3,4,4,3.04.04.0,11,Gold,2
12488,France,10,55,1298.6599999999999,4,3,3,4.03.03.0,10,Gold,1
12489,France,336,15,334.92999999999995,1,1,2,1.01.02.0,4,Bronze,0
12490,France,5,245,5417.9299999999985,4,4,4,4.04.04.0,12,Gold,2
12491,France,39,26,460.4000000000001,3,2,2,3.02.02.0,7,Silver,1
12492,Germany,63,20,263.21,2,2,1,2.02.01.0,5,Bronze,0
12493,France,166,22,433.74,1,2,2,1.02.02.0,5,Bronze,0
12494,France,16,77,1246.1000000000006,4,3,3,4.03.03.0,10,Gold,1
12497,Germany,82,14,1043.1,2,1,3,2.01.03.0,6,Silver,1
12498,Germany,21,23,403.7,3,2,2,3.02.02.0,7,Silver,1
12500,Germany,23,61,4257.820000000001,3,3,4,3.03.04.0,10,Gold,2
12501,Germany,337,149,2169.3899999999994,1,4,4,1.04.04.0,9,Silver,1
12502,Spain,96,147,3723.87,2,4,4,2.04.04.0,10,Gold,1
12504,Germany,18,9,482.04999999999995,4,1,2,4.01.02.0,7,Silver,0
12506,France,233,23,73.50000000000003,1,2,1,1.02.01.0,4,Bronze,0
12507,Spain,134,21,1304.81,2,2,3,2.02.03.0,7,Silver,1
12508,France,26,68,397.88000000000005,3,3,2,3.03.02.0,8,Silver,1
12509,France,284,7,176.5,1,1,1,1.01.01.0,3,Bronze,0
12510,Spain,143,33,982.57,2,2,3,2.02.03.0,7,Silver,1
12512,Israel,66,31,132.18000000000006,2,2,1,2.02.01.0,5,Bronze,0
12513,France,113,35,612.2900000000001,2,2,2,2.02.02.0,6,Silver,1
12514,Italy,267,51,1017.6800000000002,1,3,3,1.03.03.0,7,Silver,1
12515,Italy,353,16,383.7,1,1,2,1.01.02.0,4,Bronze,0
12516,Germany,78,26,1312.06,2,2,3,2.02.03.0,7,Silver,1
12517,Germany,28,279,2481.5999999999995,3,4,4,3.04.04.0,11,Gold,2
12518,Germany,1,124,2056.8899999999994,4,4,4,4.04.04.0,12,Gold,2
12519,Germany,64,17,330.84,2,1,2,2.01.02.0,5,Bronze,0
12520,Germany,79,152,2634.26,2,4,4,2.04.04.0,10,Gold,1
12521,Germany,143,38,599.6800000000001,2,2,2,2.02.02.0,6,Silver,1
12522,Germany,39,12,192.72000000000003,3,1,1,3.01.01.0,5,Bronze,0
12523,France,19,106,1789.7700000000007,3,4,4,3.04.04.0,11,Gold,2
12524,Germany,9,144,4485.719999999999,4,4,4,4.04.04.0,12,Gold,2
12526,Germany,1,71,1316.6600000000005,4,3,3,4.03.03.0,10,Gold,2
12527,Germany,82,18,348.71000000000004,2,2,2,2.02.02.0,6,Silver,0
12528,Germany,9,92,1933.4800000000007,4,3,4,4.03.04.0,11,Gold,2
12530,Germany,60,66,1662.2799999999993,2,3,4,2.03.04.0,9,Silver,1
12531,Germany,15,17,125.22,4,1,1,4.01.01.0,6,Silver,0
12532,France,30,16,349.83,3,1,2,3.01.02.0,6,Silver,0
12534,Germany,131,63,1089.18,2,3,3,2.03.03.0,8,Silver,1
12535,France,92,34,716.3500000000001,2,2,3,2.02.03.0,7,Silver,1
12536,France,43,261,4867.710000000004,3,4,4,3.04.04.0,11,Gold,2
12538,Spain,29,21,363.95,3,2,2,3.02.02.0,7,Silver,1
12539,Spain,22,273,5568.349999999995,3,4,4,3.04.04.0,11,Gold,2
12540,Spain,20,478,13400.23999999999,3,4,4,3.04.04.0,11,Gold,2
12541,Spain,30,52,981.1800000000002,3,3,3,3.03.03.0,9,Silver,1
12544,Spain,36,19,372.7,3,2,2,3.02.02.0,7,Silver,0
12545,Spain,75,50,1000.3899999999999,2,3,3,2.03.03.0,8,Silver,1
12546,Spain,47,69,1161.5,3,3,3,3.03.03.0,9,Silver,1
12547,Spain,198,8,207.8,1,1,1,1.01.01.0,3,Bronze,0
12548,Spain,166,5,95.19999999999999,1,1,1,1.01.01.0,3,Bronze,0
12550,Spain,79,57,964.8299999999994,2,3,3,2.03.03.0,8,Silver,1
12551,Spain,358,10,168.0,1,1,1,1.01.01.0,3,Bronze,0
12552,Italy,39,20,437.81999999999994,3,2,2,3.02.02.0,7,Silver,1
12553,France,8,191,3692.280000000001,4,4,4,4.04.04.0,12,Gold,2
12556,Spain,50,119,599.5599999999997,3,4,2,3.04.02.0,9,Silver,1
12557,Spain,16,33,11990.96,4,2,4,4.02.04.0,10,Gold,2
12558,USA,8,11,269.96000000000004,4,1,1,4.01.01.0,6,Silver,0
12559,Germany,311,21,561.7099999999999,1,2,2,1.02.02.0,5,Bronze,0
12560,Germany,5,105,2134.01,4,4,4,4.04.04.0,12,Gold,2
12561,Germany,303,16,238.85,1,1,1,1.01.01.0,3,Bronze,0
12562,France,8,168,3781.7400000000025,4,4,4,4.04.04.0,12,Gold,2
12564,France,261,21,456.9000000000001,1,2,2,1.02.02.0,5,Bronze,0
12565,Saudi Arabia,289,9,145.92,1,1,1,1.01.01.0,3,Bronze,0
12566,Germany,86,19,351.65000000000003,2,2,2,2.02.02.0,6,Silver,0
12567,France,23,446,9401.279999999993,3,4,4,3.04.04.0,11,Gold,2
12569,Germany,2,188,4124.69,4,4,4,4.04.04.0,12,Gold,2
12571,France,40,34,519.6099999999999,3,2,2,3.02.02.0,7,Silver,1
12572,Germany,9,60,1020.4200000000003,4,3,3,4.03.03.0,10,Gold,1
12573,France,227,28,160.54,1,2,1,1.02.01.0,4,Bronze,0
12574,France,316,11,218.45000000000002,1,1,1,1.01.01.0,3,Bronze,0
12576,Poland,36,88,1315.8299999999997,3,3,3,3.03.03.0,9,Silver,1
12577,France,35,146,626.6000000000003,3,4,2,3.04.02.0,9,Silver,1
12578,Italy,21,114,2794.5099999999993,3,4,4,3.04.04.0,11,Gold,2
12579,France,78,29,440.41999999999996,2,2,2,2.02.02.0,6,Silver,1
12580,Germany,247,24,415.7,1,2,2,1.02.02.0,5,Bronze,0
12581,Germany,40,15,197.70999999999998,3,1,1,3.01.01.0,5,Bronze,0
12582,Finland,239,22,511.3599999999999,1,2,2,1.02.02.0,5,Bronze,0
12583,France,3,247,7281.379999999993,4,4,4,4.04.04.0,12,Gold,2
